company,metric_id,metric_name,value,units,currency,period_start,period_end,filing_date,economic_scope,accounting_basis,source_type,source_document,accession_or_report_identifier,page_or_table,primary_source_reference,value_status,transformation,confidence,notes
Affirm,operating_income,Operating income,88.429,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,consolidated company,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,Statements of Operations,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,observed,,high,Includes provision for credit losses.
Affirm,provision,Provision for credit losses,196.543,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,consolidated company,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,Statements of Operations,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,observed,,high,Provision is an expected-loss accounting expense and not NCO.
Affirm,average_exposure,Average loans held for investment,8700,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,consolidated company,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,MD&A average LHI,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,observed,,high,Average balance of LHI less accrued interest disclosed by Affirm.
Affirm,gross_chargeoffs,Gross charge-offs,179.693,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,loans held for investment,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,Allowance roll-forward,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,observed,,high,Direct allowance roll-forward disclosure.
Affirm,recoveries,Recoveries of charged-off receivables,21.675,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,loans held for investment,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,Allowance roll-forward,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,observed,,high,Direct allowance roll-forward disclosure.
Affirm,net_chargeoffs,Net charge-offs,158.018,USD millions,USD,2026-01-01,2026-03-31,2026-05-07,loans held for investment,GAAP,SEC 10-Q,Affirm Form 10-Q Q3 FY2026,0001628280-26-032294,Allowance roll-forward,https://www.sec.gov/Archives/edgar/data/1820953/000162828026032294/afrm-20260331.htm,derived,gross_chargeoffs minus recoveries,high,Directly reconciled; not inferred from allowance change.
Klarna,operating_income,Operating profit,17,USD millions,USD,2026-01-01,2026-03-31,2026-05-14,consolidated company,IFRS,SEC 6-K exhibit 99.2,Klarna Q1 2026 Earnings Release,0001628280-26-034877,Earnings release reconciliation,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno992q126earnings.htm,observed,,high,IFRS operating profit; comparable accounting capacity basis is reported operating profit.
Klarna,adjusted_operating_income,Adjusted operating profit,68,USD millions,USD,2026-01-01,2026-03-31,2026-05-14,consolidated company,adjusted non-IFRS,SEC 6-K exhibit 99.2,Klarna Q1 2026 Earnings Release,0001628280-26-034877,Earnings release reconciliation,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno992q126earnings.htm,observed,,high,Separate sensitivity only; reconciles to operating profit in source.
Klarna,provision,Provision for credit losses,186,USD millions,USD,2026-01-01,2026-03-31,2026-05-14,consolidated company,IFRS,SEC 6-K exhibit 99.2,Klarna Q1 2026 Earnings Release,0001628280-26-034877,Earnings release table,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno992q126earnings.htm,observed,,high,Blended provision across consumer lending activities; not NCO.
Klarna,beginning_exposure,Gross consumer receivables,10951,USD millions,USD,2025-12-31,2025-12-31,2026-05-14,consolidated company,IFRS,SEC 6-K exhibit 99.4,Klarna Q1 2026 Interim Report,0001628280-26-034877,Note 6 Consumer receivables,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno994klarnagroupplc.htm,observed,,high,Fair Financing plus Pay Later gross carrying amount.
Klarna,ending_exposure,Gross consumer receivables,9614,USD millions,USD,2026-03-31,2026-03-31,2026-05-14,consolidated company,IFRS,SEC 6-K exhibit 99.4,Klarna Q1 2026 Interim Report,0001628280-26-034877,Note 6 Consumer receivables,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno994klarnagroupplc.htm,observed,,high,Fair Financing plus Pay Later gross carrying amount.
Klarna,average_exposure,Average gross consumer receivables,10282.5,USD millions,USD,2026-01-01,2026-03-31,2026-05-14,consolidated company,IFRS,SEC 6-K exhibit 99.4,Klarna Q1 2026 Interim Report,0001628280-26-034877,Note 6 Consumer receivables,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno994klarnagroupplc.htm,derived,(beginning_exposure plus ending_exposure) divided by 2,high,Aligned company-level denominator.
Klarna,fair_financing_writeoffs,Fair Financing amounts written off,108,USD millions,USD,2026-01-01,2026-03-31,2026-05-14,Fair Financing receivables,IFRS,SEC 6-K exhibit 99.4,Klarna Q1 2026 Interim Report,0001628280-26-034877,Note 6 stage roll-forward,https://www.sec.gov/Archives/edgar/data/2003292/000162828026034877/exhibitno994klarnagroupplc.htm,observed,,high,Write-offs disclosed; corresponding recoveries are unavailable, so this is not labeled NCO.
