company,scenario,loss_rate,pre_credit_loss_operating_income,average_exposure,capacity_rate,operating_result,change_from_provision_proxy,currency,accounting_basis
Affirm,base,0.03,284.972,8700.0,0.1310216091954023,219.72199999999998,-0.060364597701149436,USD,GAAP
Affirm,base,0.06,284.972,8700.0,0.1310216091954023,154.47199999999998,-0.030364597701149437,USD,GAAP
Affirm,base,0.09,284.972,8700.0,0.1310216091954023,89.22199999999998,-0.00036459770114943835,USD,GAAP
Affirm,base,0.12,284.972,8700.0,0.1310216091954023,23.97199999999998,0.02963540229885056,USD,GAAP
Affirm,base,0.15,284.972,8700.0,0.1310216091954023,-41.27800000000002,0.05963540229885056,USD,GAAP
Klarna,base,0.03,203.0,10282.5,0.07896912229516168,125.88124999999998,-0.04235594456601022,USD,IFRS
Klarna,base,0.06,203.0,10282.5,0.07896912229516168,48.76249999999999,-0.012355944566010219,USD,IFRS
Klarna,base,0.09,203.0,10282.5,0.07896912229516168,-28.356250000000017,0.01764405543398978,USD,IFRS
Klarna,base,0.12,203.0,10282.5,0.07896912229516168,-105.475,0.04764405543398978,USD,IFRS
Klarna,base,0.15,203.0,10282.5,0.07896912229516168,-182.59375000000003,0.07764405543398978,USD,IFRS
Affirm,downside,0.03,284.972,8700.0,0.10136836781609194,155.22619999999998,-0.060364597701149436,USD,GAAP
Affirm,downside,0.06,284.972,8700.0,0.10136836781609194,89.97619999999998,-0.030364597701149437,USD,GAAP
Affirm,downside,0.09,284.972,8700.0,0.10136836781609194,24.726199999999977,-0.00036459770114943835,USD,GAAP
Affirm,downside,0.12,284.972,8700.0,0.10136836781609194,-40.52380000000002,0.02963540229885056,USD,GAAP
Affirm,downside,0.15,284.972,8700.0,0.10136836781609194,-105.77380000000002,0.05963540229885056,USD,GAAP
Klarna,downside,0.03,203.0,10282.5,0.05712375395088742,69.72499999999998,-0.04235594456601022,USD,IFRS
Klarna,downside,0.06,203.0,10282.5,0.05712375395088742,-7.393750000000011,-0.012355944566010219,USD,IFRS
Klarna,downside,0.09,203.0,10282.5,0.05712375395088742,-84.51250000000002,0.01764405543398978,USD,IFRS
Klarna,downside,0.12,203.0,10282.5,0.05712375395088742,-161.63125,0.04764405543398978,USD,IFRS
Klarna,downside,0.15,203.0,10282.5,0.05712375395088742,-238.75000000000003,0.07764405543398978,USD,IFRS
Affirm,severe,0.03,284.972,8700.0,0.07171512643678161,90.7304,-0.060364597701149436,USD,GAAP
Affirm,severe,0.06,284.972,8700.0,0.07171512643678161,25.480400000000003,-0.030364597701149437,USD,GAAP
Affirm,severe,0.09,284.972,8700.0,0.07171512643678161,-39.7696,-0.00036459770114943835,USD,GAAP
Affirm,severe,0.12,284.972,8700.0,0.07171512643678161,-105.0196,0.02963540229885056,USD,GAAP
Affirm,severe,0.15,284.972,8700.0,0.07171512643678161,-170.2696,0.05963540229885056,USD,GAAP
Klarna,severe,0.03,203.0,10282.5,0.035278385606613186,13.568750000000023,-0.04235594456601022,USD,IFRS
Klarna,severe,0.06,203.0,10282.5,0.035278385606613186,-63.54999999999997,-0.012355944566010219,USD,IFRS
Klarna,severe,0.09,203.0,10282.5,0.035278385606613186,-140.66875,0.01764405543398978,USD,IFRS
Klarna,severe,0.12,203.0,10282.5,0.035278385606613186,-217.78749999999997,0.04764405543398978,USD,IFRS
Klarna,severe,0.15,203.0,10282.5,0.035278385606613186,-294.90625,0.07764405543398978,USD,IFRS
